INSERT INTO feedback(feedback_id, appointment_id, feedback_date, feedback_text, rating) VALUES
(46, 89, '2019-02-24 08:07:36.081', 'The appointment duration was adequate for my needs', 2),
(47, 66, '1977-01-23 10:01:34.02', 'The appointment duration was adequate for my needs', 3),
(48, 60, '2003-01-17 09:20:31.024', 'I felt respected and valued as a patient', 2),
(49, 60, '1995-10-09 13:18:07.852', 'The appointment process was smooth and efficient', 5),
(50, 76, '1984-01-03 06:35:38.759', 'The doctor was very attentive and explained everything clearly', 4);

INSERT INTO feedback(feedback_id, appointment_id, feedback_date, feedback_text, rating) VALUES
(51, 10, '1999-06-13 12:54:16.888', 'I appreciated the thoroughness of the examination', 3),
(52, 10, '2012-07-14 14:13:22.075', 'I received timely updates and reminders about my appointment', 3),
(53, 11, '1976-03-05 14:46:10.779', 'The doctor was knowledgeable and provided comprehensive care', 1),
(54, 48, '1984-08-31 00:13:24.03', 'The hospital provided adequate follow-up care and support', 5),
(55, 35, '2007-03-12 14:50:12.026', 'The hospital provided clear instructions for pre-appointment preparations', 3),
(56, 35, '2008-08-29 23:12:43.002', 'I felt respected and valued as a patient', 4),
(57, 7, '2015-06-23 03:19:25.777', 'The staff demonstrated professionalism and empathy', 1),
(58, 5, '2018-04-11 09:41:59.691', 'The hospital environment was welcoming and comfortable', 3),
(59, 29, '1983-02-23 10:12:59.447', 'The hospital provided clear instructions for pre-appointment preparations', 3),
(60, 14, '1977-05-12 02:11:43.854', 'The doctor was very attentive and explained everything clearly', 3),
(61, 31, '1985-04-11 08:19:43.002', 'The doctor was very attentive and explained everything clearly', 3),
(62, 36, '1998-12-12 09:05:34.495', 'The staff demonstrated professionalism and empathy', 4),
(63, 13, '2022-08-23 06:55:04.351', 'I appreciated the thoroughness of the examination', 4),
(64, 21, '2007-02-01 22:27:19.513', 'The staff demonstrated professionalism and empathy', 3),
(65, 21, '1996-05-11 11:36:34.193', 'The appointment started on time', 5),
(66, 1, '1985-12-21 12:43:41.234', 'The doctor listened to my concerns and addressed them effectively', 4),
(67, 31, '1981-05-29 06:23:03.178', 'The appointment scheduling was convenient', 4),
(68, 32, '2005-05-29 12:25:50.008', 'The doctor was knowledgeable and provided comprehensive care', 4),
(69, 20, '2015-01-11 03:59:23.447', 'The doctor was very attentive and explained everything clearly', 4),
(70, 42, '2021-10-13 07:48:34.719', 'The hospital adhered to safety protocols and guidelines', 1),
(71, 18, '1990-11-22 00:06:36.566', 'The hospital adhered to safety protocols and guidelines', 2),
(72, 1, '1986-05-01 04:23:52.239', 'I felt reassured and well taken care of during my visit', 2),
(73, 48, '1979-01-20 04:26:57.173', 'The doctor was knowledgeable and provided comprehensive care', 1),
(74, 44, '2003-02-26 18:02:32.651', 'The hospital adhered to safety protocols and guidelines', 1),
(75, 37, '1982-05-21 00:42:17.59', 'I felt reassured and well taken care of during my visit', 3),
(76, 4, '1986-10-28 01:59:35.32', 'The hospital provided clear instructions for pre-appointment preparations', 1),
(77, 34, '2017-06-23 06:36:35.943', 'The doctor listened to my concerns and addressed them effectively', 1),
(78, 26, '1986-12-31 21:48:32.001', 'The appointment scheduling was convenient', 3),
(79, 39, '2005-02-23 23:42:24.656', 'I felt reassured and well taken care of during my visit', 5),
(80, 37, '1988-10-04 01:38:11.494', 'The hospital environment was welcoming and comfortable', 4),
(81, 20, '1979-12-12 19:27:23.789', 'The doctor listened to my concerns and addressed them effectively', 4),
(82, 1, '2022-07-29 10:35:01.376', 'The appointment scheduling was convenient', 5),
(83, 1, '2009-05-23 15:29:51.198', 'The hospital provided clear instructions for pre-appointment preparations', 1),
(84, 34, '1994-10-07 11:57:27.61', 'The doctor was very attentive and explained everything clearly', 3),
(85, 7, '2012-01-13 07:38:23.543', 'The hospital staff were friendly and helpful', 2),
(86, 7, '1994-02-05 17:24:35.075', 'The waiting time was shorter than expected', 4),
(87, 46, '1984-02-05 15:27:39.002', 'The waiting time was shorter than expected', 3),
(88, 18, '1993-10-18 23:35:08.397', 'The hospital environment was welcoming and comfortable', 2),
(89, 9, '2016-02-15 13:57:51.523', 'The appointment duration was adequate for my needs', 1),
(90, 15, '1997-06-03 02:51:13.611', 'The doctor was very attentive and explained everything clearly', 5),
(91, 19, '1994-01-20 00:37:39.001', 'The hospital staff were friendly and helpful', 3),
(92, 21, '2004-12-22 16:21:41.59', 'The hospital adhered to safety protocols and guidelines', 2),
(93, 3, '2000-07-18 12:49:34.223', 'The appointment duration was adequate for my needs', 1),
(94, 36, '2017-05-23 17:21:10.885', 'I appreciated the thoroughness of the examination', 5),
(95, 31, '1987-12-17 01:56:12.512', 'The staff demonstrated professionalism and empathy', 1),
(96, 22, '1996-08-07 03:16:32.026', 'The staff demonstrated professionalism and empathy', 4),
(97, 31, '2010-05-02 04:56:43.589', 'The doctor was knowledgeable and provided comprehensive care', 1),
(98, 44, '1985-11-11 14:03:10.725', 'The waiting time was shorter than expected', 5),
(99, 5, '2017-08-06 07:24:57.744', 'I felt reassured and well taken care of during my visit', 5),
(100, 1, '1989-08-27 04:43:41.152', 'The waiting time was shorter than expected', 4);
